Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Language related disorders,Literacy difficulties,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
631b53381439e92e11651e2b,5e94aa8e11d9b92eff5f1a16,AWAITING REVIEW,2022-09-09T14:59:52.160000Z,2022-09-09T15:18:48.414000Z,,2022-09-09T15:18:48.921115Z,1137,354125D8,738,3,100,none,No,27,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
63232b622c65827a0cab91d4,5ff5b79027696804bc79d938,AWAITING REVIEW,2022-09-15T13:41:04.024000Z,2022-09-15T14:02:59.363000Z,,2022-09-15T14:03:00.006349Z,1316,354125D8,424,1,100,none,No,30,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
63236a73fab785f5584faa24,6310f641e055390b726f786a,AWAITING REVIEW,2022-09-15T18:09:55.639000Z,2022-09-15T18:30:59.146000Z,,2022-09-15T18:30:59.814096Z,1264,354125D8,14,0,100,none,No,25,Male,Mixed,Germany,Germany,Germany,German,Yes,Other
6323773343aca1c70802b6cc,6310ae22b1f4c57620b5a412,AWAITING REVIEW,2022-09-15T19:04:19.563000Z,2022-09-15T19:59:05.260000Z,,2022-09-15T19:59:05.678622Z,3286,354125D8,20,0,100,none,No,28,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6323942d6d7e889a7e555914,6317567a5db58c2c330a5497,AWAITING REVIEW,2022-09-15T21:08:00.792000Z,2022-09-15T21:27:34.866000Z,,2022-09-15T21:27:35.625574Z,1175,354125D8,14,0,100,none,No,21,Female,White,Germany,Germany,Germany,German,Yes,Due to start a new job within the next month
63299b2d305aaa0e7c1bb698,6310a7a2c120091869243cfb,AWAITING REVIEW,2022-09-20T10:51:28.623000Z,2022-09-20T11:25:10.307000Z,,2022-09-20T11:25:10.805386Z,2022,354125D8,19,0,100,none,No,32,Male,White,Germany,Germany,Germany,German,No,Full-Time
6329b04622af07a1d2d3ac43,5db95f402c4937000b0d4b69,AWAITING REVIEW,2022-09-20T12:21:30.294000Z,2022-09-20T12:34:45.560000Z,,2022-09-20T12:34:46.062498Z,796,354125D8,461,6,99,none,No,21,Female,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
6329b0708179dd345a63caa8,614f6bc595d48d5822daf99f,AWAITING REVIEW,2022-09-20T12:31:16.591000Z,2022-09-20T13:04:09.563000Z,,2022-09-20T13:04:09.991387Z,1973,354125D8,253,3,100,none,No,28,Female,White,Germany,Germany,Germany,German,No,Other
6329c9f1c806b63d276fde7c,5b2285b50fbb830001080525,AWAITING REVIEW,2022-09-20T14:11:05.460000Z,2022-09-20T14:35:06.673000Z,,2022-09-20T14:35:07.533001Z,1442,354125D8,639,4,100,none,No,30,Male,White,Germany,Germany,Germany,German,No,Full-Time
6329d7beb5de664539771c7c,5ea8286db500e122d8c9a19c,AWAITING REVIEW,2022-09-20T15:09:59.661000Z,2022-09-20T15:40:20.515000Z,,2022-09-20T15:40:21.066291Z,1821,354125D8,548,0,100,none,No,24,Female,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
6329d83a15f23223faa1b6a9,5ea94cb8fbc1bf028bf665b3,AWAITING REVIEW,2022-09-20T15:11:54.530000Z,2022-09-20T15:34:02.197000Z,,2022-09-20T15:34:02.554615Z,1328,354125D8,107,0,100,none,No,28,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6329d83d4fbe13c458aa904b,5e825a174f39010b852c3afa,AWAITING REVIEW,2022-09-20T15:11:59.860000Z,2022-09-20T15:31:09.214000Z,,2022-09-20T15:31:09.822222Z,1150,354125D8,339,4,99,none,No,27,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6329d8534ba24c7685bb7769,5c8f66153e08e20016d09b26,AWAITING REVIEW,2022-09-20T15:12:21.593000Z,2022-09-20T15:30:58.596000Z,,2022-09-20T15:30:59.035260Z,1118,354125D8,422,2,100,none,No,31,Male,White,Germany,Germany,Germany,German,No,Full-Time
6329e5346e27e57deb9a1969,62cc0d04add688f740c43681,AWAITING REVIEW,2022-09-20T16:07:20.122000Z,2022-09-20T16:31:40.219000Z,,2022-09-20T16:31:40.820043Z,1461,354125D8,89,0,100,none,No,25,Female,White,Germany,Germany,Germany,German,No,Full-Time
6329e5a0f4a5554edc25417c,5a74e93feea3d300016dd8ca,AWAITING REVIEW,2022-09-20T16:09:04.357000Z,2022-09-20T16:26:37.855000Z,,2022-09-20T16:26:38.276341Z,1054,354125D8,1024,9,99,none,No,32,Male,White,Germany,Germany,Germany,German,No,Full-Time
6329e9d9c5b7b589eefbee31,63039174ed8692b989aa4165,AWAITING REVIEW,2022-09-20T16:33:21.807000Z,2022-09-20T16:51:10.717000Z,,2022-09-20T16:51:11.420302Z,1069,354125D8,28,0,100,none,No,20,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
6329ea31c6a66d47308f595e,610e81fe1eb97357ab77892c,AWAITING REVIEW,2022-09-20T16:28:47.937000Z,2022-09-20T16:48:56.233000Z,,2022-09-20T16:48:56.588669Z,1209,354125D8,235,1,100,none,No,23,Male,White,Germany,Germany,Germany,German,Yes,Due to start a new job within the next month
